Input Data with parity | Out Data with parity   | Error in bit num | Correct Data with parity
---------------------- | ---------------------- | ---------------- | ----------------------
101100100111000        | 101100100011000        | 6                | 101100100111000       
1011101000101          | 1011101010101          | 5                | 1011101000101         
110010010110110        | 110010010110111        | 1                | 110010010110110       
11101000010000         | 11101001010000         | 7                | 11101000010000        
111000101101111        | 111001101101111        | 10               | 111000101101111       
110110111110           | 110110111110           | 0                | 110110111110          
100111001001110        | 100111001011110        | 5                | 100111001001110       
10101100110010         | 10101000110010         | 9                | 10101100110010        
111111000000110        | 111111100000110        | 9                | 111111000000110       
1100001111001          | 1100001111101          | 3                | 1100001111001         
