Input Data with parity          | Out Data with parity            | Error in bit num | Correct Data with parity       
--------------------------------|---------------------------------|------------------|--------------------------------
1011001010110010110010100110000 | 1011001010110010110010100111000 | 4                | 1011001010110010110010100110000
0010111101001100010101001100100 | 0010111101001100010101000100100 | 7                | 0010111101001100010101001100100
1100100011110100101100111011001 | 1100100011110100101110111011001 | 11               | 1100100011110100101100111011001
0111010001011100011001011000111 | 0111010001011100011001010000111 | 7                | 0111010001011100011001011000111
1110001110100111001101110111110 | 1110001110110111001101110111110 | 20               | 1110001110100111001101110111110
0001101011110010010110001110010 | 0001101011110010010110001110010 | 0                | 0001101011110010010110001110010
1001110100101111100101000111110 | 1001110100101111100101000110110 | 4                | 1001110100101111100101000111110
0101011011001111000110110100000 | 0101011011000111000110110100000 | 19               | 0101011011001111000110110100000
1111110000101011011001101000110 | 1111110000101011010001101000110 | 13               | 1111110000101011011001101000110
0011000111010101110100110110001 | 0011000111010101110100111110001 | 7                | 0011000111010101110100110110001
